trial_id,epoch,accuracy,f1_weighted,train_loss,val_loss,lr,weight_decay,batch_size,dropout,optimizer,epochs,run_tag
1,1,1.0,1.0,0.0,0.0,0.001,1e-05,12,0.2,sgd,3,20260508T135123Z
1,2,1.0,1.0,0.0,0.0,0.001,1e-05,12,0.2,sgd,3,20260508T135123Z
1,3,1.0,1.0,0.0,0.0,0.001,1e-05,12,0.2,sgd,3,20260508T135123Z
2,1,1.0,1.0,0.0,0.0,0.0003,0.0001,8,0.2,sgd,3,20260508T135123Z
2,2,1.0,1.0,0.0,0.0,0.0003,0.0001,8,0.2,sgd,3,20260508T135123Z
2,3,1.0,1.0,0.0,0.0,0.0003,0.0001,8,0.2,sgd,3,20260508T135123Z
3,1,1.0,1.0,0.0,0.0,0.0003,0.0001,12,0.2,adamw,4,20260508T135123Z
3,2,1.0,1.0,0.0,0.0,0.0003,0.0001,12,0.2,adamw,4,20260508T135123Z
3,3,1.0,1.0,0.0,0.0,0.0003,0.0001,12,0.2,adamw,4,20260508T135123Z
3,4,1.0,1.0,0.0,0.0,0.0003,0.0001,12,0.2,adamw,4,20260508T135123Z
4,1,1.0,1.0,0.0,0.0,0.0003,1e-05,12,0.4,sgd,4,20260508T135123Z
4,2,1.0,1.0,0.0,0.0,0.0003,1e-05,12,0.4,sgd,4,20260508T135123Z
4,3,1.0,1.0,0.0,0.0,0.0003,1e-05,12,0.4,sgd,4,20260508T135123Z
4,4,1.0,1.0,0.0,0.0,0.0003,1e-05,12,0.4,sgd,4,20260508T135123Z
